Title,company,location,job_type,Experience_level,Experience_year,categories,department,Number_of_skills
Data Scientist with Database Expertise,Confidential,Riyadh,Full Time,Experienced,5.0,IT/Software Development,Data Science,10
Data Analyst,Royal Herbs,Haram,Full Time,Experienced,3.0,Analyst/Research,Analyst/Research,9
Data Entry Specialist,El-Dahan Company,Cairo,Full Time,Entry Level,1.0,Administration,Administration,3
Junior Data Analyst,Yodawy,Mohandessin,Full Time,Entry Level,1.0,Logistics/Supply Chain,Operations/Management,8
Data Analytics Specialist,MEAHCO - Saudi German Health,Katameya,Full Time,Experienced,3.0,Medical/Healthcare,Quality,8
Data Entry Clerk,Vceram,Dokki,Full Time,Experienced,Unknown,Accounting/Finance,Administration,8
Data Entry & Sourcing Specialist (Hotel / Supplier Sourcing – Dynamic & Static),Bookntrvl,Heliopolis,Full Time,Experienced,3.0,Administration,Customer Service/Support,8
Data Entry,Kasrawy Group,Abu Rawash,Full Time,Entry Level,1.0,Administration,Attention to Detail,8
Data Scientist & Instructor,EpsilonAI,Nasr City,Full Time,Entry Level,0.0,IT/Software Development,Engineering - Telecom/Technology,8
Data Analyst & Instructor (Excel & Power BI),EpsilonAI,Nasr City,Full Time,Entry Level,0.0,IT/Software Development,Analyst/Research,8
Master Data Specialist,Confidential,Cairo,Full Time,Experienced,1.0,Administration,Logistics/Supply Chain,8
Receptionist - Real Estate,Gulf Data International,Heliopolis,Full Time,Experienced,1.0,Administration,Administration,9
Recruitment Officer,Gulf Data International,Heliopolis,Internship,Entry Level,Unknown,Administration,Recruitment,7
IT Infrastructure Specialist – Data Center Operations,Confidential,Riyadh,Full Time,Experienced,5.0,IT/Software Development,ITIL V3,6
Scanning Produducts Data Entry,WeLyra,New Cairo,Full Time,Entry Level,1.0,Other,Teamwork,8
Data Scientist Team Leader,GB Corp,Giza,Full Time,Experienced,3.0,IT/Software Development,Analyst/Research,4
Senior Data Scientist,Egabi FSI,Sheraton,Full Time,Experienced,Unknown,IT/Software Development,Engineering - Telecom/Technology,8
Data Entry,Integrated Façade Solution,Heliopolis,Full Time,Entry Level,0.0,Administration,Data Entry,4
Senior Data Base Engineer,Amreyah Cement,Cairo,Full Time,Experienced,3.0,IT/Software Development,Engineering - Telecom/Technology,8
Data Analyst,Sun Pyramids Tours,Haram,Full Time,Experienced,Unknown,IT/Software Development,Analyst/Research,8
KPIs & Data Performance Analyst,Confidential,Cairo,Full Time,Experienced,3.0,Engineering - Construction/Civil/Architecture,IT/Software Development,8
Real Estate Sales Agent,Gulf Data International,Sheikh Zayed,Full Time,Experienced,3.0,Business Development,Customer Service/Support,6
"Big Data Analytics, Hadoop (Cloudera)",MOBILY INFOTECH LTD INDIA,New Cairo,Full Time,Entry Level,1.0,Engineering - Telecom/Technology,Cloudera,2
Data Entry Clerk (Night Shift),Option Travel,Maadi,Full Time,Experienced,2.0,Administration,Data entry,2
Data Analyst,Aman,Cairo,Full Time,Entry Level,1.0,IT/Software Development,Sales/Retail,6
Big Data Engineer,Efada Technology,6th of October,Full Time,Experienced,3.0,IT/Software Development,Analyst/Research,8
Data Entry Clerk,Alwaselah For Recruiting Egyptian Abroad,Nasr City,Full Time,Entry Level,Unknown,Administration,Human Resources,8
"Senior Data Scientist – NLP, LLMs & Agentic AI",WUZZUF,Cairo,Full Time,Experienced,6.0,Engineering - Telecom/Technology,Data Science,2
Data Entry | Alexandria Start ASAP,Appstact,Sidi Gaber,Full Time,Entry Level,1.0,Writing/Editorial,Microsoft Word,7
Data Analyst,Nahdet Misr Publishing Group,Mohandessin,Full Time,Experienced,2.0,Analyst/Research,Sales/Retail,8
Customs Clearance Data Entry,realme,Nasr City,Full Time,Entry Level,Unknown,Administration,Legal,8
Data Management & Analytics Supervisor,Nahdet Misr Publishing Group,Giza,Full Time,Experienced,5.0,Operations/Management,Data Management,6
Data Analyst,Lecico Egypt,Alexandria,Full Time,Experienced,3.0,IT/Software Development,Analyst/Research,8
Data Classification Consultant,Help AG,Abu Dhabi,Full Time,Experienced,2.0,IT/Software Development,Engineering - Telecom/Technology,8
Data Entry Specialist,Sani Pure,Cairo,Full Time,Entry Level,1.0,Administration,Administration,9
Data entry,Confidential,10th of Ramadan City,Full Time,Experienced,1.0,Administration,Customer Service/Support,8
Data Entry Clerk,Confidential,Dokki,Full Time,Entry Level,1.0,Administration,Customer Service/Support,8
Data Engineer (Teradata / ETL),AeliaSoft,Cairo,Full Time,Experienced,2.0,Business Development,IT/Software Development,8
Data Analyst,EGEC,Haram,Full Time,Experienced,2.0,Accounting/Finance,Engineering - Construction/Civil/Architecture,8
Data Entry,Selah ElTelmeez For Publishing & printing,Obour City,Full Time,Entry Level,1.0,Administration,Customer Service/Support,6
Customer Support & Data Entry Specialist,Confidential,New Cairo,Full Time,Entry Level,Unknown,Customer Service/Support,Remote work,7
Data Scientist (Analytics & Validation),Confidential AI Legal Tech Platform,New Cairo,Full Time,Entry Level,0.0,IT/Software Development,Data Science,5
Junior Data Pipeline Engineer / Data Scientist,xMap,Cairo,Full Time,Entry Level,1.0,IT/Software Development,Analyst/Research,8
Data Quality Engineer,Citylogix ME,Katameya,Full Time,Experienced,Unknown,IT/Software Development,QA/Testing,1
DevOps Engineer - Data Infrastructure,Citylogix ME,Katameya,Full Time,Experienced,Unknown,Installation/Maintenance/Repair,IT/Software Development,5
Financial Analyst - Data Analyst,Tradeline International,Cairo,Full Time,Experienced,2.0,Accounting/Finance,Financial Analysis,8
Data Management Specialist,ariika,New Cairo,Full Time,Manager,5.0,Administration,IT/Software Development,7
Data Analysis Manager Retail Fashion,Coup,New Nozha,Full Time,Manager,4.0,Operations/Management,Sales/Retail,5
Commercial Specialist ( Junior Data Analyst ),realme,Nasr City,Full Time,Entry Level,Unknown,Business Development,Analyst/Research,8
Data Science Instructor (Part-Time),Senior Steps,Nasr City,Part Time,Experienced,1.0,R&D/Science,IT/Software Development,8
Data Center Operation Engineer,GPX Egypt,New Cairo,Full Time,Entry Level,0.0,Engineering - Telecom/Technology,Engineering - Telecom/Technology,9
Data Center Facility Engineer,GPX Egypt,New Cairo,Full Time,Entry Level,0.0,Engineering - Telecom/Technology,Engineering - Telecom/Technology,4
Data Entry & ERP Implementation Specialist,Mashareq,New Cairo,Full Time,Experienced,2.0,Administration,Data Entry,8
Senior Data Center Engineer,Mobi Egypt,Maadi,Full Time,Experienced,Unknown,Engineering - Telecom/Technology,Data Center Operations,6
Data Center Controller / Admin System,Tarabot Express,New Cairo,Full Time,Experienced,2.0,Installation/Maintenance/Repair,Installation/Maintenance/Repair,9
Stock Control and Data Entry Specialist,Monkie,Sheikh Zayed,Full Time,Entry Level,1.0,Logistics/Supply Chain,Fashion,7
Data Analyst,Junior-Tex,Obour City,Full Time,Entry Level,0.0,Analyst/Research,Data Analysis,8
Group HRIS Data Analysis Supervisor,As-Salam International Hospital,Maadi,Full Time,Experienced,4.0,Human Resources,Analyst/Research,6
Repair Order Specialist ( Data Analyst ),OPPO Egypt,Nasr City,Full Time,Entry Level,1.0,Customer Service/Support,Analyst/Research,7
Sales Account Manager,Datum International Data Systems,Heliopolis,Full Time,Experienced,Unknown,Customer Service/Support,IT/Software Development,8
Technical Support Engineer,Datum International Data Systems,Heliopolis,Full Time,Experienced,2.0,Installation/Maintenance/Repair,Technical Support,7
Sales Engineer,Gulf Data International,Nasr City,Full Time,Experienced,3.0,Sales/Retail,Engineering - Telecom/Technology,8
Financial Data Entry / Junior Accountant,Confidential,New Cairo,Full Time,Experienced,2.0,Accounting/Finance,Microsoft Office,6
Data Analytics Engineer,Erada,Maadi,Full Time,Experienced,Unknown,IT/Software Development,Analyst/Research,8
Project Coordinator,Gulf Data International,Nasr City,Full Time,Experienced,1.0,Engineering - Construction/Civil/Architecture,Engineering - Construction/Civil/Architecture,9
Recruitment Specialist,Gulf Data International,Heliopolis,Full Time,Experienced,1.0,Human Resources,Talent Sourcing,7
Insurance representative,Gulf Data International,Cairo,Full Time,Entry Level,0.0,Customer Service/Support,Sales/Retail,8
Telesales – Data Verification Executive,Al Hayat Medical Clinics,Nasr City,Full Time,Experienced,2.0,Sales/Retail,CRM,7
Data & BI Engineering Technical lead,Al Ahly Momkn for e-payment,Maadi,Full Time,Experienced,6.0,IT/Software Development,Engineering - Telecom/Technology,7
Data Analyst,Tie House,New Cairo,Full Time,Experienced,1.0,Analyst/Research,Financial Data Analysis,4
Business Analytics Lead,WUZZUF,Cairo,Full Time,Experienced,6.0,Engineering - Telecom/Technology,Data Analytics,2
Academic Operation Manager,Idea,Sheikh Zayed,Full Time,Manager,7.0,Operations/Management,Sales/Retail,8
Senior Cost Accountant,BTC-Egypt Gold,Heliopolis,Full Time,Experienced,4.0,Accounting/Finance,Accounting/Finance,9
Automotive Showroom Manager,Nile Projects & Trading,New Cairo,Full Time,Manager,Unknown,Sales/Retail,Automotive Sales,8
Senior ERP Technical Developer – Dynamics 365 F&O,Circle K,Sheraton,Full Time,Experienced,5.0,IT/Software Development,Engineering - Telecom/Technology,8
Operations & Account Manager,Confidential,New Cairo,Full Time,Entry Level,1.0,Administration,Business Development,8
Cost Accountant,Al monairy,10th of Ramadan City,Full Time,Experienced,3.0,Accounting/Finance,Cost Accounting,8
Marketing & Sales Manager,Idea,Sheikh Zayed,Full Time,Manager,7.0,Marketing/PR/Advertising,Sales/Retail,8
Call Center & Customer Service Manager,Idea,Sheikh Zayed,Full Time,Manager,7.0,Customer Service/Support,Operations/Management,8
Product Manager,Confidential,Cairo,Full Time,Experienced,2.0,IT/Software Development,Sales/Retail,8
English - Quality Analyst,Intouch CX,Sheikh Zayed,Full Time,Entry Level,1.0,Customer Service/Support,Quality,5
WMS Specialist,Marbella For Food Industry,6th of October,Full Time,Experienced,2.0,Operations/Management,Operations/Management,4
Accounting - Manager,Maxevia Corporate,Nasr City,Full Time,Manager,5.0,Accounting/Finance,Administration,8
Senior Financial Analyst,Confidential,10th of Ramadan City,Full Time,Experienced,10.0,Accounting/Finance,Analyst/Research,6
Senior MRP Engineer,Kasrawy Group,6th of October,Full Time,Experienced,5.0,Logistics/Supply Chain,Material Requirements Planning (MRP),8
Survey Engineer.,Professional Service - Proserv,6th of October,Full Time,Entry Level,0.0,Engineering - Construction/Civil/Architecture,Surveying,1
Marketing Supervisor,Etqan Consultancy,Cairo,Full Time,Manager,Unknown,Marketing/PR/Advertising,Media/Journalism/Publishing,8
Customer Service Clerk,Carofi,New Cairo,Full Time,Entry Level,0.0,Administration,Customer Service/Support,4
HR Assistant,Nev Spas,New Cairo,Full Time,Experienced,3.0,Administration,Human Resources,6
Warehouse Supervisor,Confidential,Alexandria,Full Time,Experienced,3.0,Logistics/Supply Chain,Operations/Management,8
AI Engineer,Print Hub,Mohandessin,Full Time,Experienced,3.0,IT/Software Development,Python Programming,8
Marketing Analyst,BTC-Egypt Gold,Heliopolis,Full Time,Experienced,2.0,Marketing/PR/Advertising,Analyst/Research,8
Medium & Small Enterprise Risk Specialist,"The Micro, Small & Medium Enterprise Development Agency",Dokki,Full Time,Experienced,1.0,Accounting/Finance,Risk Assessment,8
Administrative Assistant,Atta Gad foundation,Cairo,Full Time,Experienced,2.0,Administration,Administration,9
Farms Junior Procurement Specialist,Nile Sugar,Mallawi,Full Time,Entry Level,0.0,Purchasing/Procurement,Procurement,4
Digital Marketing Manager,Hamwi Cafe,Sheraton,Full Time,Manager,10.0,Administration,Administration,9
senior HR Payroll,Al Rabat,New Cairo,Full Time,Experienced,3.0,Accounting/Finance,Accounting/Finance,5
Supply Chain Analyst,RISEUP (Endemag for Administrative Skills Development),New Cairo,Full Time,Experienced,2.0,Logistics/Supply Chain,Operations/Management,8
Junior Accountant,Orana,Badr City,Full Time,Entry Level,1.0,Accounting/Finance,Accounting/Finance,8
SRO Student Relations Coordinator,Universities of Canada in Egypt,New Capital,Full Time,Entry Level,0.0,Administration,Customer Service/Support,8
Media Buyer,Babebella Cosmetics,Hadayek Alahram,Full Time,Experienced,Unknown,Marketing/PR/Advertising,Media/Journalism/Publishing,8
Senior Budget,Selah ElTelmeez For Publishing & printing,Obour City,Full Time,Experienced,5.0,Accounting/Finance,Analyst/Research,8
NBL & Collection Specialist,"The Micro, Small & Medium Enterprise Development Agency",Dokki,Full Time,Experienced,1.0,Accounting/Finance,Collections Management,8
Life Underwriting Support Officer,Africa Re,Cairo,Full Time,Entry Level,0.0,Administration,Life Insurance Underwriting,8
Workforce Senior Specialist,Etisalat Egypt,Maadi,Full Time,Experienced,2.0,Human Resources,Marketing/PR/Advertising,8
Personnel Specialist,Cairo Three A  Poultry,New Cairo,Full Time,Entry Level,1.0,Human Resources,Personnel Administration,6
Operations Billing Specialist,DSV Solutions S.A.E,New Cairo,Full Time,Entry Level,0.0,Accounting/Finance,Logistics/Supply Chain,6
Senior Retail Functional Consultant – D365 Commerce (Retail & POS),Circle K,Sheraton,Full Time,Experienced,7.0,IT/Software Development,Retail POS Systems,8
Payable Specialist,"The Micro, Small & Medium Enterprise Development Agency",Dokki,Full Time,Experienced,2.0,Accounting/Finance,Attention to Detail,8
Logistics Specialist,Sani Pure,Cairo,Full Time,Experienced,Unknown,Logistics/Supply Chain,Logistics/Supply Chain,9
Supply Chain Manager,Confidential,Sheikh Zayed,Full Time,Manager,5.0,Logistics/Supply Chain,Operations/Management,7
DTC Marketing Executive,Mini Egypt - MiniMelts,Abu Rawash,Full Time,Experienced,2.0,Business Development,Marketing/PR/Advertising,8
CRM Dynamics 365 Support Engineer,Endemand IT,15th May City,Full Time,Experienced,3.0,IT/Software Development,Microsoft Dynamics 365 CRM,7
Planning Supervisor (Pharmaceutical),Confidential,New Cairo,Full Time,Manager,3.0,Logistics/Supply Chain,Operations/Management,8
E Commerce Specialist,ariika,New Cairo,Full Time,Experienced,2.0,Marketing/PR/Advertising,Sales/Retail,8
Assistant Brand Manager,Arma Non Food,Maadi,Full Time,Entry Level,1.0,Administration,Operations/Management,8
Pricing Support & Contracting Senior Specialist,MEAHCO - Saudi German Health,Katameya,Full Time,Experienced,Unknown,Medical/Healthcare,Pricing,6
"Non Voice (Mail&chat) B2 English Speakers,e&UAE grads",Etisalat Egypt,Maadi,Full Time,Entry Level,0.0,Administration,Customer Service/Support,8
MAP Product Development & Application Engineer,Good Seal Packaging,10th of Ramadan City,Full Time,Experienced,5.0,Business Development,Quality,5
Geologist Section Head,Ascom,Menia,Full Time,Experienced,12.0,Manufacturing/Production,Manufacturing/Production,9
Senior Sales,NURLINE,Madinaty,Full Time,Experienced,1.0,Sales/Retail,Market Research,8
Account Manager,Mknoon Marketing Agency,Cairo,Full Time,Experienced,Unknown,Customer Service/Support,Marketing/PR/Advertising,8
Financial Analyst,Saudi-firmness,Katameya,Full Time,Experienced,5.0,Accounting/Finance,Finance,3
Process Improvement Analyst,System Technique,Abu Rawash,Full Time,Experienced,2.0,Administration,Workflow Optimization,2
"Mail and Chat (Backoffice B2 English Speakers)e&UAE,graduates",Etisalat Egypt,Maadi,Full Time,Entry Level,0.0,Banking,Customer Service/Support,8
Costing Section Head,BTC-Egypt Gold,Heliopolis,Full Time,Experienced,7.0,Accounting/Finance,Banking,8
Site Engineer,Dtec,Heliopolis,Full Time,Experienced,Unknown,Engineering - Construction/Civil/Architecture,Problem Solving,8
Account Officer,Print Hub,Mohandessin,Full Time,Experienced,3.0,Accounting/Finance,Accounting,8
Planning and cost control Engineer,Confidential,Nasr City,Full Time,Experienced,5.0,Engineering - Construction/Civil/Architecture,Project/Program Management,8
(Media Buyer - Performance Marketer),Confidential,Nasr City,Full Time,Entry Level,2.0,Creative/Design/Art,Marketing/PR/Advertising,8
Accounting Clerk,shab,Cairo,Full Time,Experienced,Unknown,Accounting/Finance,Odoo ERP,6
Senior Marketing Executive,Etqan Consultancy,Cairo,Full Time,Experienced,3.0,Marketing/PR/Advertising,Media/Journalism/Publishing,8
Production Engineer,Giza Cable Industries,6th of October,Full Time,Entry Level,0.0,Manufacturing/Production,Manufacturing/Production,6
Field Quality Coach,Confidential,Cairo,Full Time,Manager,5.0,Operations/Management,Quality,8
Sales Administrator,Mknoon Marketing Agency,Cairo,Full Time,Experienced,2.0,Administration,Customer Service/Support,8
"Backoffice (Mail&Chat)B2 English Speakers,e&UAE ,Graduates",Etisalat Egypt,Maadi,Full Time,Entry Level,0.0,Accounting/Finance,Administration,8
Pricing Engineer,Sani Pure,New Cairo,Full Time,Experienced,2.0,Engineering - Construction/Civil/Architecture,Analyst/Research,8
SEO Marketing Specialist,7P,Dokki,Full Time,Entry Level,1.0,Marketing/PR/Advertising,Media/Journalism/Publishing,8
Tourism Accountant,Travencia Holidays Egypt,Cairo,Full Time,Entry Level,1.0,Accounting/Finance,Banking,8
Financial Statements Specialist,"The Micro, Small & Medium Enterprise Development Agency",Dokki,Full Time,Experienced,2.0,Accounting/Finance,Financial Statement Preparation,8
"Director, Enterprise Systems & Digital Transformation",Confidential,10th of Ramadan City,Full Time,Senior Management,10.0,IT/Software Development,ERP,5
Category Brand Manager,Quanta Import & Trade,Cairo,Full Time,Manager,Unknown,Marketing/PR/Advertising,Cross-functional Collaboration,8
Digital Marketing Executive,Confidential,New Cairo,Full Time,Experienced,Unknown,Creative/Design/Art,Marketing/PR/Advertising,8
Trade Marketing Executive,Mini Egypt - MiniMelts,Abu Rawash,Full Time,Experienced,3.0,Marketing/PR/Advertising,Media/Journalism/Publishing,8
Organizational Development Specialist,Coveris Flexibles Egypt,Bourj Alarab,Full Time,Experienced,3.0,Human Resources,Organizational Development,8
HR Manager,AlexEnergy Administrative Support Solutions,Smouha,Full Time,Manager,Unknown,Administration,Human Resources,8
SQD Engineer,Pharco Corporation,Ameria,Full Time,Entry Level,0.0,Quality,Pharmaceutical,8
PHP Web Developer (Laravel) & Website Support,Confidential,Vancouver,Full Time,Entry Level,1.0,IT/Software Development,Engineering - Telecom/Technology,8
"Senior Digital Marketing Manager – Egypt Branch (Expert Level, 10+ Years, Hands-On Execution)",The Egyptian Developers - المطورون المصريون,Nasr City,Full Time,Manager,Unknown,Marketing/PR/Advertising,Strategy/Consulting,8
Brand Manager,AM Group,Obour City,Full Time,Manager,7.0,Marketing/PR/Advertising,Brand development and positioning,6
Import Specialist,Egyptian House of shipping,Sheraton,Full Time,Experienced,Unknown,Logistics/Supply Chain,Operations/Management,8
Stock Controller,Allamna Integrated Solutions,Nasr City,Full Time,Experienced,3.0,Accounting/Finance,Accounting/Finance,9
Mail & Chat (B2 English Speakers)e&UAE - Graduates,Etisalat Egypt,Maadi,Full Time,Entry Level,0.0,Banking,Customer Service/Support,8
Process Excellence Engineer,Olam SVI,6th of October,Full Time,Experienced,2.0,Manufacturing/Production,Manufacturing/Production,9
Compensation Benefits Specialist,Dar Al Fouad Hospital,Cairo,Full Time,Experienced,1.0,Administration,Human Resources,8
Senior Marketing Specialist,Qebaa,Smouha,Full Time,Experienced,3.0,Writing/Editorial,Marketing/PR/Advertising,8
Production Engineer (Welding),Kama Manufacturing,10th of Ramadan City,Full Time,Experienced,2.0,Manufacturing/Production,Engineering - Mechanical/Electrical,8
Medical Insurance Sales (Hospital Segment),Dubai International,Cairo,Full Time,Experienced,Unknown,Medical/Healthcare,Sales/Retail,8
Research Officer / Senior Officer,Zewail City,6th of October,Full Time,Experienced,4.0,Administration,Operations/Management,6
Operations Specialist,Freak App,Cairo,Full Time,Entry Level,1.0,Customer Service/Support,Customer Service/Support,9
Demand & Supply Planner,Yodawy,Giza,Full Time,Experienced,2.0,Logistics/Supply Chain,Analyst/Research,7
Senior Officer – Finance Automation & Process Improvement,Almosafer,Mohandessin,Full Time,Experienced,3.0,Accounting/Finance,Business Development,8
Indirect Local Purchasing Specialist,Kasrawy Group,6th of October,Full Time,Experienced,3.0,Logistics/Supply Chain,Manufacturing/Production,8
Retail Sales Manager,ALAS HOME,10th of Ramadan City,Full Time,Manager,5.0,Customer Service/Support,Operations/Management,8
Workforce Supervisor,Etisalat Egypt,Maadi,Full Time,Manager,2.0,Business Development,Workforce Management,8
Customer Support Agent (Retention Account),Etisalat Egypt,Maadi,Full Time,Entry Level,0.0,Customer Service/Support,Customer Retention,8
Inventory Controller,Mozare3,6th of October,Full Time,Experienced,2.0,Accounting/Finance,Logistics/Supply Chain,7
Planning Specialist,SIPES,10th of Ramadan City,Full Time,Experienced,2.0,Logistics/Supply Chain,Manufacturing/Production,8
Credit Analyst,Tech4Health,Cairo,Full Time,Experienced,Unknown,Accounting/Finance,Banking,8
HR Business Partner,Royal Herbs,Alsadat City,Full Time,Experienced,3.0,Human Resources,Human Resources,9
Data Entry Clerk,OPPO Egypt,Nasr City,Internship,Student,Unknown,Administration,Writing/Editorial,7
Logistics Specialist,Marine Trust,Smouha,Full Time,Entry Level,1.0,Logistics/Supply Chain,Logistics Coordination,5
Banking Specialist,OPPO Egypt,Nasr City,Full Time,Experienced,1.0,Accounting/Finance,Banking,8
Export DRA Specialist,Orchidia Pharmaceutical Industries,Obour City,Full Time,Experienced,1.0,Pharmaceutical,International Regulatory Compliance,3
Chief Operating Officer,Usell,Al Ahmadi,Part Time,Senior Management,2.0,Accounting/Finance,Operations/Management,3
Ports Operations Manager,Confidential,Dkhaila,Full Time,Manager,10.0,Logistics/Supply Chain,Operations/Management,8
Cost Engineer,Green Mass,New Cairo,Full Time,Experienced,Unknown,Engineering - Construction/Civil/Architecture,Project Cost Control,4
Telemarketing Agent,Synketa,New Cairo,Part Time,Entry Level,1.0,Business Development,Marketing/PR/Advertising,8
Cost Accountant,KIG Konnice,10th of Ramadan City,Full Time,Experienced,Unknown,Accounting/Finance,Logistics/Supply Chain,8
Compensation & Benefits Manager,COLAS RAIL Egypt,Cairo,Full Time,Manager,7.0,Human Resources,Benefits Administration,5
Software Development Manager,Confidential,6th of October,Full Time,Manager,Unknown,Business Development,IT/Software Development,8
Oracle Fusion Developer,NILEWOOD,Agouza,Full Time,Experienced,2.0,IT/Software Development,Engineering - Telecom/Technology,8
Process Development Section Head,Elmarakby Steel,6th of October,Full Time,Senior Management,8.0,R&D/Science,Process Optimization,4
Financial Analyst,Confidential,Bourj Alarab,Full Time,Experienced,3.0,Accounting/Finance,Financial Modeling,8
Business Analyst Section Head,Family Corporation,Heliopolis,Full Time,Manager,5.0,Analyst/Research,Business Analysis,8
"Logistics Manager ""Automotive Background""",Kasrawy Group,6th of October,Full Time,Manager,Unknown,Logistics/Supply Chain,Logistics Management,8
Delivery Operations Coordinator,GBE Logistics,Riyadh,Full Time,Experienced,1.0,Administration,Logistics/Supply Chain,8
Stock Controller,AL Nada Mills,Nasr City,Full Time,Experienced,1.0,Accounting/Finance,Logistics/Supply Chain,4
Business Development Internship,tegrow,Cairo,Internship,Entry Level,Unknown,Business Development,Sales/Retail,7
Cost Control Engineer,Confidential,6th of October,Full Time,Experienced,3.0,Engineering - Construction/Civil/Architecture,Project/Program Management,8
Field Auditor,RetailZoom,Heliopolis,Full Time,Entry Level,0.0,Marketing/PR/Advertising,Marketing/PR/Advertising,9
Supply Chain Manager,Kama Manufacturing,10th of Ramadan City,Full Time,Manager,9.0,Logistics/Supply Chain,Logistics,8
Insurance Operations Coordinator,TameenNow,Smouha,Full Time,Experienced,Unknown,Customer Service/Support,Operations/Management,8
Secretary,Talaat Moustafa Group,Dokki,Full Time,Experienced,4.0,Customer Service/Support,Sales/Retail,8
BI Reporting Specialist,Efada Technology,6th of October,Full Time,Entry Level,1.0,IT/Software Development,Engineering - Telecom/Technology,8
Quality Assurance (QA) Analyst – Hard Services,Confidential,Mokattam,Full Time,Experienced,3.0,Engineering - Construction/Civil/Architecture,Quality Assurance,6
HR Operations Sr. Specialist,Etisalat Egypt,Maadi,Full Time,Experienced,2.0,Human Resources,Operations/Management,8
operational risk,Sandah for micro finance,Mohandessin,Full Time,Entry Level,1.0,Accounting/Finance,Banking,5
Sales Operations Assistant Manager,Minlo,New Nozha,Full Time,Experienced,Unknown,Operations/Management,Sales/Retail,8
ERP Technical Support,Energya Cables,10th of Ramadan City,Full Time,Experienced,3.0,IT/Software Development,Power BI,5
Customer Solutions & Reporting Manager,Etisalat Egypt,Maadi,Full Time,Manager,4.0,Customer Service/Support,Operations/Management,8
Human Resources Generalist,Cizaro,New Cairo,Full Time,Experienced,2.0,Human Resources,Recruitment & Talent Acquisition,8
Cash Accountant,AL Nada Mills,Nasr City,Full Time,Entry Level,1.0,Accounting/Finance,Accounting/Finance,6
Branch Accountant,AL Nada Mills,Nasr City,Full Time,Entry Level,1.0,Accounting/Finance,Accounting/Finance,7
Senior Surveyor,MM contracting and supplying,Cairo,Full Time,Experienced,7.0,Engineering - Construction/Civil/Architecture,Engineering - Construction/Civil/Architecture,9
Demand Planning Senior Specialist,Minlo,New Nozha,Full Time,Experienced,3.0,Logistics/Supply Chain,Purchasing/Procurement,8
Digital Marketing Executive / Associate manager,Dabur,New Cairo,Full Time,Experienced,4.0,Operations/Management,Marketing/PR/Advertising,8
Purchase Specialist,Peta Networks,Smouha,Full Time,Experienced,2.0,Purchasing/Procurement,Procurement,3
Document Controller,Horizon Operation and Management,New Capital,Full Time,Experienced,Unknown,Administration,Document Management,5
Senior HR Operations Specialist,Upwyde,New Cairo,Full Time,Experienced,5.0,Human Resources,Operations/Management,8
E Commerce Specialist,Exab,Cairo,Full Time,Experienced,3.0,Marketing/PR/Advertising,Sales/Retail,8
Junior Accountant,TRAVCO GROUP,Luxor,Full Time,Entry Level,0.0,Accounting/Finance,Accounting,5
Cost Analyst,Haier Electric Egypt,10th of Ramadan City,Full Time,Senior Management,3.0,Accounting/Finance,Analyst/Research,5
Affiliate & Partnerships Manager,esrar,Maadi,Full Time,Manager,Unknown,Creative/Design/Art,Writing/Editorial,8
Planning Assistant Manager,Confidential,6th of October,Full Time,Manager,Unknown,Logistics/Supply Chain,Operations/Management,8
E - Commerce Team Leader,Spinneys Egypt,Maadi,Full Time,Manager,5.0,IT/Software Development,Operations/Management,8
Non Voice Agent (Mail&Chat) B2 English Speakers - e&UAE,Etisalat Egypt,Maadi,Full Time,Entry Level,0.0,Customer Service/Support,Customer Service,8
Cost Manager,Growxcel,Dokki,Full Time,Senior Management,Unknown,Accounting/Finance,Accounting/Finance,9
Store Keeper,MM contracting and supplying,Cairo,Full Time,Experienced,Unknown,Accounting/Finance,Accounting/Finance,9
Oracle HCM Consultant (EBS & Fusion),egabi solutions,Sheraton,Full Time,Experienced,5.0,Human Resources,Human Resources,9
E-commerce Senior Specialist,Minlo,New Nozha,Full Time,Experienced,2.0,Marketing/PR/Advertising,Sales/Retail,8
Accounts Receivable Accountant,Audio Technology,Sheraton,Full Time,Experienced,Unknown,Accounting/Finance,Accounting/Finance,9
Senior Recruiter,Confidential,Bourj Alarab,Full Time,Experienced,5.0,Human Resources,Full-Cycle Recruitment,8
Store Keeper - Finished Goods,Arab Otsuka Nutraceuticals,Nasr City,Full Time,Experienced,7.0,Logistics/Supply Chain,Logistics/Supply Chain,9
Collection Specialist,EGFCO,10th of Ramadan City,Full Time,Entry Level,0.0,Accounting/Finance,Administration,8
Warehouse Manager,Soudanco,Manakh,Full Time,Manager,5.0,Logistics/Supply Chain,Operations/Management,8
Sales & Marketing Executive,Confidential,Ataqah,Full Time,Entry Level,1.0,Customer Service/Support,Marketing/PR/Advertising,8
Performance Marketing,Confidential,Alexandria,Full Time,Senior Management,6.0,Operations/Management,Marketing/PR/Advertising,8
Sales & Marketing Manager,ELDRIENY,Mahalla Kubra,Full Time,Manager,5.0,Business Development,Marketing/PR/Advertising,8
Internal Auditor,Economic Group,New Cairo,Full Time,Experienced,3.0,Accounting/Finance,Accounting/Finance,9
Sales Coordinator,AppsTCH,New Cairo,Full Time,Entry Level,1.0,Administration,Administration,9
Senior Technical Talent Acquisition Specialist,Sprints.ai,Maadi,Full Time,Experienced,3.0,Human Resources,Technical Recruitment,8
