Title,company,location,job_type,Experience_level,Experience_year,categories,department,Number_of_skills
"ENGINEER, TESTING - WEST REGION - FRESH GRADUATE",Alfanar Projects,Makkah,Full Time,Experienced,Unknown,IT/Software Development,Engineering - Telecom/Technology,7
Sales Manager KSA,Blacklane,Riyadh,Full Time,Entry Level,Unknown,Customer Service/Support,Sales/Retail,7
Senior Executive - HSE,Apparel Group,Riyadh,Full Time,Experienced,Unknown,Marketing/PR/Advertising,Media/Journalism/Publishing,7
History Teacher (Arabic Speaker),Mind Base Education,Dubai,Full Time,Entry Level,Unknown,Education/Teaching,Teaching,7
Senior Road Engineer,WSP in the Middle East,Riyadh,Freelance / Project,Experienced,Unknown,IT/Software Development,Engineering - Mechanical/Electrical,7
Senior Mechanical Engineer,Energy Job Search,Riyadh,Full Time,Experienced,Unknown,IT/Software Development,Engineering - Mechanical/Electrical,7
Product Manager,Mnzil | منزل,Riyadh,Full Time,Entry Level,Unknown,IT/Software Development,Sales/Retail,7
Enterprise Solutions Engineer - India Market (Remote),Glow Beauty on Demand,Dubai,Full Time,Entry Level,Unknown,IT/Software Development,Engineering - Telecom/Technology,7
"Dubai Microservices Architect - Director, Cloud & DevOps",Greenfix Property Care,Dubai,Full Time,Experienced,Unknown,IT/Software Development,Engineering - Mechanical/Electrical,7
Strategic Solution Architect - Digital Banking & Cloud,Glow Beauty on Demand,Dubai,Full Time,Experienced,Unknown,Customer Service/Support,Engineering - Telecom/Technology,7
Civil Project Manager,Energy Job Search,Riyadh,Full Time,Entry Level,Unknown,Engineering - Construction/Civil/Architecture,Project/Program Management,7
Sales Engineer,Makan.Design,Riyadh,Full Time,Entry Level,Unknown,Sales/Retail,Engineering - Mechanical/Electrical,7
UI/UX Designer,Mnzil | منزل,Riyadh,Full Time,Entry Level,Unknown,Creative/Design/Art,Engineering - Telecom/Technology,7
B2B Account Executive - International Ventures,Greenfix Property Care,Dubai,Freelance / Project,Experienced,Unknown,Business Development,Sales/Retail,7
"Title
            
                
                    Unit Manager - Operation Theater",Ayadi Home Health Care LLC,Dubai,Full Time,Experienced,Unknown,Business Development,Sales/Retail,7
Vice President Procurement,Millennium Hotels and Resorts MEA,Dubai,Full Time,Senior Management,Unknown,Administration,Education/Teaching,7
Desktop Support Engineer,Dicetek LLC,Dubai,Freelance / Project,Entry Level,Unknown,Installation/Maintenance/Repair,Engineering - Telecom/Technology,7
