Title,company,location,job_type,work_mode,Experience_level,Experience_year,categories,department,skills
Data Scientist with Database Expertise,Confidential,"Riyadh, Saudi Arabia",Full Time,On-site,Experienced,5 - 7 Yrs of Exp,IT/Software Development,Data Science,"['Database Management', 'Python', 'Data Analysis', 'Machine Learning', 'Data Visualization', 'SQL', 'ETL (Extract, Transform, Load)', 'Big Data Technologies']"
Data Analyst,Royal Herbs,"Haram, Giza, Egypt",Full Time,On-site,Experienced,3 - 5 Yrs of Exp,Analyst/Research,Analyst/Research,"['Engineering - Telecom/Technology', 'Data Analysis', 'Statistical Modeling', 'Data Visualization', 'SQL', 'Excel', 'Power BI', 'Tableau', 'Problem Solving']"
Data Entry Specialist,El-Dahan Company,"Cairo, Egypt",Full Time,On-site,Entry Level,1 - 3 Yrs of Exp,Administration,Administration,"['Data Entry', 'ERP', 'Microsoft Excel']"
Junior Data Analyst,Yodawy,"Mohandessin, Giza, Egypt",Full Time,On-site,Entry Level,1 - 3 Yrs of Exp,Logistics/Supply Chain,Operations/Management,"['Analyst/Research', 'Data Analysis', 'SQL', 'Reporting', 'Communication', 'Negotiation', 'Financial Data Analysis', 'Multitasking']"
Data Analytics Specialist,MEAHCO - Saudi German Health,"Katameya, Cairo, Egypt",Full Time,On-site,Experienced,3 - 5 Yrs of Exp,Medical/Healthcare,Quality,"['Analyst/Research', 'SQL', 'python development', 'SAS', 'Tableau', 'Power BI', 'QlikView', 'Microsoft Excel']"
Data Entry Clerk,Vceram,"Dokki, Giza, Egypt",Full Time,On-site,Experienced,3+ Yrs of Exp,Accounting/Finance,Administration,"['Customer Service/Support', 'Data Entry', 'Database Management', 'Microsoft Excel', 'Attention to Detail', 'Organizational Skills', 'Time Management', 'Problem Solving']"
Data Entry & Sourcing Specialist (Hotel / Supplier Sourcing – Dynamic & Static),Bookntrvl,"Heliopolis, Cairo, Egypt",Full Time,On-site,Experienced,3 - 6 Yrs of Exp,Administration,Customer Service/Support,"['Purchasing/Procurement', 'Contract Negotiation', 'Contracts Management', 'Data Entry', 'Sourcing Specialist', 'Supplier Sourcing', 'Hotel Management', 'Dynamic Sourcing']"
Data Entry,Kasrawy Group,"Abu Rawash, Giza, Egypt",Full Time,On-site,Entry Level,1 - 3 Yrs of Exp,Administration,Attention to Detail,"['Data Entry', 'Microsoft Excel', 'Communication', 'Teamwork', 'Problem Solving', 'Time Management', 'Database Management', 'Organizational Skills']"
Data Scientist & Instructor,EpsilonAI,"Nasr City, Cairo, Egypt",Full Time,Hybrid,Entry Level,0 - 3 Yrs of Exp,IT/Software Development,Engineering - Telecom/Technology,"['Training/Instructor', 'Data Science', 'Machine Learning', 'Python Programming', 'Teaching & Instruction', 'Curriculum Development', 'Statistical Analysis', 'Communication']"
Data Analyst & Instructor (Excel & Power BI),EpsilonAI,"Nasr City, Cairo, Egypt",Full Time,Hybrid,Entry Level,0 - 3 Yrs of Exp,IT/Software Development,Analyst/Research,"['Education/Teaching', 'Data Analysis', 'Database SQL Server', 'MySQL', 'Data Analytics', 'Big Data Analytics', 'Microsoft Excel', 'Power BI']"
Master Data Specialist,Confidential,"Cairo, Egypt",Full Time,On-site,Experienced,1 - 3 Yrs of Exp,Administration,Logistics/Supply Chain,"['Analyst/Research', 'Master Data Management', 'Data Analysis', 'ERP Systems', 'Problem Solving', 'Microsoft Excel', 'Reporting', 'communication skills']"
Receptionist - Real Estate,Gulf Data International,"Heliopolis, Cairo, Egypt",Full Time,On-site,Experienced,1 - 2 Yrs of Exp,Administration,Administration,"['Customer Service/Support', 'Reception management', 'Customer service', 'Communication', 'Organization', 'Multitasking', 'Microsoft Office', 'Time management', 'Attention to detail']"
Recruitment Officer,Gulf Data International,"Heliopolis, Cairo, Egypt",Internship,On-site,Entry Level,Administration,Administration,Recruitment,"['Talent Acquisition', 'Interviewing', 'Sourcing', 'Communication', 'Organizational Skills', 'Negotiation', 'Employer Branding']"
IT Infrastructure Specialist – Data Center Operations,Confidential,"Riyadh, Saudi Arabia",Full Time,On-site,Experienced,5 - 7 Yrs of Exp,IT/Software Development,ITIL V3,"['CompTIA A+', 'Microsoft Azure', 'AWS', 'Hyper-V', 'TCP/IP, DNS']"
Scanning Produducts Data Entry,WeLyra,"New Cairo, Cairo, Egypt",Full Time,On-site,Entry Level,1 - 2 Yrs of Exp,Other,Teamwork,"['Data Entry', 'Microsoft Office', 'Financial Data Analysis', 'Database', 'Databases', 'Mysql Database', 'Database SQL Server', 'Data Analysis']"
Data Scientist Team Leader,GB Corp,"Giza, Egypt",Full Time,On-site,Experienced,3 - 7 Yrs of Exp,IT/Software Development,Analyst/Research,"['Engineering - Telecom/Technology', 'Data Science', 'Machine Learning', 'Big Data Technologies']"
Senior Data Scientist,Egabi FSI,"Sheraton, Cairo, Egypt",Full Time,On-site,Experienced,3+ Yrs of Exp,IT/Software Development,Engineering - Telecom/Technology,"['Computer Science', 'Data Mining', 'Data Science', 'data scientist', 'Hadoop', 'Machine Learning', 'Python', 'SQL']"
Data Entry,Integrated Façade Solution,"Heliopolis, Cairo, Egypt",Full Time,On-site,Entry Level,0 - 2 Yrs of Exp,Administration,Data Entry,"['Microsoft Office', 'Microsoft Word', 'Microsoft Excel', 'Fast Typing']"
Senior Data Base Engineer,Amreyah Cement,"Cairo, Egypt",Full Time,On-site,Experienced,3 - 4 Yrs of Exp,IT/Software Development,Engineering - Telecom/Technology,"['computer science', 'IT', 'Software Engineering', 'database', 'database engineering', 'Administration', 'Microsoft', 'MySQL']"
Data Analyst,Sun Pyramids Tours,"Haram, Giza, Egypt",Full Time,On-site,Experienced,2+ Yrs of Exp,IT/Software Development,Analyst/Research,"['Engineering - Telecom/Technology', 'Dashboard Development', 'Data Analysis', 'Data Visualization', 'SQL', 'Excel', 'Python', 'Statistical Analysis']"
KPIs & Data Performance Analyst,Confidential,"Cairo, Egypt",Full Time,On-site,Experienced,3 - 6 Yrs of Exp,Engineering - Construction/Civil/Architecture,IT/Software Development,"['Engineering - Telecom/Technology', 'Data Analysis', 'KPI Development', 'Business Intelligence', 'Data Visualization', 'SQL', 'Statistical Analysis', 'Reporting']"
Real Estate Sales Agent,Gulf Data International,"Sheikh Zayed, Giza, Egypt",Full Time,On-site,Experienced,3 - 5 Yrs of Exp,Business Development,Customer Service/Support,"['Sales/Retail', 'Lead Generation', 'Negotiation', 'Real Estate Sales', 'CRM Software', 'Time Management']"
"Big Data Analytics, Hadoop (Cloudera)",MOBILY INFOTECH LTD INDIA,"New Cairo, Cairo, Egypt",Full Time,Hybrid,Entry Level,1 - 3 Yrs of Exp,Engineering - Telecom/Technology,Cloudera,"['Big Data Analytics', 'Hadoop']"
Data Entry Clerk (Night Shift),Option Travel,"Maadi, Cairo, Egypt",Full Time,On-site,Experienced,2 - 5 Yrs of Exp,Administration,Data entry,"['Attention to detail', 'Time management']"
Data Analyst,Aman,"Cairo, Egypt",Full Time,Hybrid,Entry Level,1 - 2 Yrs of Exp,IT/Software Development,Sales/Retail,"['Microsoft Excel', 'Power BI', 'Mysql Database', 'Database', 'Data Analysis', 'Data Analytics']"
Big Data Engineer,Efada Technology,"6th of October, Giza, Egypt",Full Time,Hybrid,Experienced,3 - 5 Yrs of Exp,IT/Software Development,Analyst/Research,"['Engineering - Telecom/Technology', 'BI', 'Computer Science', 'Database', 'Information Technology (IT)', 'Oracle', 'SQL', 'PLSql']"
Data Entry Clerk,Alwaselah For Recruiting Egyptian Abroad,"Nasr City, Cairo, Egypt",Full Time,On-site,Entry Level,2+ Yrs of Exp,Administration,Human Resources,"['Tourism/Travel', 'Data entry', 'Attention to detail', 'Microsoft Excel', 'Database management', 'Time management', 'Organizational skills', 'Communication']"
"Senior Data Scientist – NLP, LLMs & Agentic AI",WUZZUF,"Cairo, Egypt",Full Time,Hybrid,Experienced,6 - 9 Yrs of Exp,Engineering - Telecom/Technology,Data Science,"['NLP', 'LLMs']"
Data Entry | Alexandria Start ASAP,Appstact,"Sidi Gaber, Alexandria, Egypt",Full Time,On-site,Entry Level,1 - 2 Yrs of Exp,Writing/Editorial,Microsoft Word,"['Microsoft Powerpoint', 'Data Entry', 'attention to details', 'strong organizational skills', 'Time Management', 'Real Time Management', 'Time Scheduling']"
Data Analyst,Nahdet Misr Publishing Group,"Mohandessin, Giza, Egypt",Full Time,On-site,Experienced,2 - 4 Yrs of Exp,Analyst/Research,Sales/Retail,"['Analysis', 'Administration', 'Data Analysis', 'Finance', 'business', 'Sales Analysis', 'Microsoft Excel', 'Data']"
Customs Clearance Data Entry,realme,"Nasr City, Cairo, Egypt",Full Time,On-site,Entry Level,1+ Yrs of Exp,Administration,Legal,"['Logistics/Supply Chain', 'Customs documentation', 'Attention to detail', 'Microsoft Excel', 'Time management', 'Problem-solving', 'Organizational skills', 'Record keeping']"
Data Management & Analytics Supervisor,Nahdet Misr Publishing Group,"Giza, Egypt",Full Time,On-site,Experienced,5 - 10 Yrs of Exp,Operations/Management,Data Management,"['Data Analytics', 'Team Leadership', 'Data Visualization', 'Communication', 'Negotiation', 'Problem Solving']"
Data Analyst,Lecico Egypt,"Alexandria, Egypt",Full Time,On-site,Experienced,3 - 5 Yrs of Exp,IT/Software Development,Analyst/Research,"['Analyst', 'Data Analysis', 'Information Technology (IT)', 'Science', 'English', 'Data Analyst', 'Computer Science', 'Analysis']"
Data Classification Consultant,Help AG,"Abu Dhabi, United Arab Emirates",Full Time,On-site,Experienced,2 - 3 Yrs of Exp,IT/Software Development,Engineering - Telecom/Technology,"['Data classification', 'Data protection', 'Risk assessment', 'Consulting', 'DLP', 'Pruview', 'Symantec', 'Getvisibility']"
Data Entry Specialist,Sani Pure,"Cairo, Egypt",Full Time,On-site,Entry Level,1 - 2 Yrs of Exp,Administration,Administration,"['Analyst/Research', 'Data Entry', 'Attention to Detail', 'Microsoft Excel', 'Database Management', 'Time Management', 'Organizational Skills', 'Confidentiality', 'Communication']"
Data entry,Confidential,"10th of Ramadan City, Sharqia, Egypt",Full Time,On-site,Experienced,1 - 3 Yrs of Exp,Administration,Customer Service/Support,"['Writing/Editorial', 'Data entry', 'Organizational skills', 'Communication', 'Attention to detail', 'Microsoft Excel', 'Database management', 'Time management']"
Data Entry Clerk,Confidential,"Dokki, Giza, Egypt",Full Time,On-site,Entry Level,1 - 6 Yrs of Exp,Administration,Customer Service/Support,"['Writing/Editorial', 'Data entry', 'Attention to detail', 'Confidentiality', 'Teamwork', 'Database management', 'Microsoft Excel', 'Problem-solving']"
Data Engineer (Teradata / ETL),AeliaSoft,"Cairo, Egypt",Full Time,On-site,Experienced,2 - 8 Yrs of Exp,Business Development,IT/Software Development,"['Teradata', 'ETL', 'Data Warehousing', 'SQL', 'FSLDM', 'Performance Tuning', 'Data Modeling', 'Data Architecture']"
Data Analyst,EGEC,"Haram, Giza, Egypt",Full Time,On-site,Experienced,2 - 5 Yrs of Exp,Accounting/Finance,Engineering - Construction/Civil/Architecture,"['Operations/Management', 'Analysis', 'Data Analysis', 'Mysql Database', 'Financial Data Analysis', 'Relational Databases', 'Databases', 'Database']"
Data Entry,Selah ElTelmeez For Publishing & printing,"Obour City, Cairo, Egypt",Full Time,On-site,Entry Level,1 - 3 Yrs of Exp,Administration,Customer Service/Support,"['Data entry', 'Attention to detail', 'Communication', 'Multitasking', 'Problem Solving', 'Negotiation']"
Customer Support & Data Entry Specialist,Confidential,"New Cairo, Cairo, Egypt",Full Time,Remote,Entry Level,Customer Service/Support,Customer Service/Support,Remote work,"['Customer Support', 'Customer Service', 'Customer Care', 'Computer Skills', 'Microsoft Excel', 'Data Entry', 'Inbound Calls']"
Data Scientist (Analytics & Validation),Confidential AI Legal Tech Platform,"New Cairo, Cairo, Egypt",Full Time,On-site,Entry Level,0 - 5 Yrs of Exp,IT/Software Development,Data Science,"['Data Modeling', 'AI', 'Machine Learning', 'Information Technology (IT)', 'Cloud Technology']"
Junior Data Pipeline Engineer / Data Scientist,xMap,"Cairo, Egypt",Full Time,Remote,Entry Level,1 - 3 Yrs of Exp,IT/Software Development,Analyst/Research,"['Engineering - Telecom/Technology', 'Python', 'SQL', 'Data Visualization', 'Communication', 'Data Analysis', 'Problem Solving', 'Collaboration']"
Data Quality Engineer,Citylogix ME,"Katameya, Cairo, Egypt",Full Time,On-site,Experienced,3+ Yrs of Exp,IT/Software Development,QA/Testing,['Problem Solving']
DevOps Engineer - Data Infrastructure,Citylogix ME,"Katameya, Cairo, Egypt",Full Time,On-site,Experienced,3+ Yrs of Exp,Installation/Maintenance/Repair,IT/Software Development,"['Engineering - Telecom/Technology', 'DevOps', 'Cloud Infrastructure', 'Problem Solving', 'CI/CD Pipelines']"
Financial Analyst - Data Analyst,Tradeline International,"Cairo, Egypt",Full Time,Remote,Experienced,2 - 4 Yrs of Exp,Accounting/Finance,Financial Analysis,"['Variance Analysis', 'E-commerce Analytics', 'Excel (Advanced)', 'Cross-functional Collaboration', 'Financial Modeling', 'Budgeting and Forecasting', 'Data Interpretation', 'Reporting and Presentation']"
Data Management Specialist,ariika,"New Cairo, Cairo, Egypt",Full Time,On-site,Manager,5 - 10 Yrs of Exp,Administration,IT/Software Development,"['Engineering - Telecom/Technology', 'Data Management', 'Data Governance', 'Data Analysis', 'Database Management', 'Project Management', 'Problem Solving']"
Data Analysis Manager Retail Fashion,Coup,"New Nozha, Cairo, Egypt",Full Time,On-site,Manager,4 - 6 Yrs of Exp,Operations/Management,Sales/Retail,"['Fashion', 'Data Analysis', 'Retail Analytics', 'Data Visualization', 'Dashboard Development']"
Commercial Specialist ( Junior Data Analyst ),realme,"Nasr City, Cairo, Egypt",Full Time,On-site,Entry Level,1+ Yrs of Exp,Business Development,Analyst/Research,"['Sales/Retail', 'Statistics', 'Sales', 'Analysis', 'Business Analysis', 'Market Research', 'Research', 'Finance']"
Data Science Instructor (Part-Time),Senior Steps,"Nasr City, Cairo, Egypt",Part Time,Hybrid,Experienced,1 - 6 Yrs of Exp,R&D/Science,IT/Software Development,"['Training/Instructor', 'Data Science Instructor', 'Machine Learning Instructor', 'Data Science Trainer', 'Machine Learning Trainer', 'Data Analyst Instructor', 'AI & Machine Learning Specialist', 'Data Science Educator']"
Data Center Operation Engineer,GPX Egypt,"New Cairo, Cairo, Egypt",Full Time,On-site,Entry Level,0 - 2 Yrs of Exp,Engineering - Telecom/Technology,Engineering - Telecom/Technology,"['Engineering - Mechanical/Electrical', 'Engineering - Other', 'AutoCAD', 'AutoCAD Design', 'Communication', 'Negotiation', 'Problem Solving', 'Multitasking', 'Operating Systems']"
Data Center Facility Engineer,GPX Egypt,"New Cairo, Cairo, Egypt",Full Time,On-site,Entry Level,0 - 2 Yrs of Exp,Engineering - Telecom/Technology,Engineering - Telecom/Technology,"['Engineering - Mechanical/Electrical', 'Engineering - Other', 'AutoCAD', 'AutoCAD Design']"
Data Entry & ERP Implementation Specialist,Mashareq,"New Cairo, Cairo, Egypt",Full Time,On-site,Experienced,2 - 4 Yrs of Exp,Administration,Data Entry,"['ERP Implementation', 'ERP Systems', 'Data Entry & Data Management', 'Data Migration', 'Business Process Mapping', 'Excel (Advanced Level)', 'Microsoft Office Suite', 'Problem Solving']"
Senior Data Center Engineer,Mobi Egypt,"Maadi, Cairo, Egypt",Full Time,On-site,Experienced,2+ Yrs of Exp,Engineering - Telecom/Technology,Data Center Operations,"['Cash Management', 'Power Systems', 'Cooling System', 'HVAC', 'Firefighting System', 'Vendor Management']"
Data Center Controller / Admin System,Tarabot Express,"New Cairo, Cairo, Egypt",Full Time,On-site,Experienced,2 - 5 Yrs of Exp,Installation/Maintenance/Repair,Installation/Maintenance/Repair,"['IT/Software Development', 'Engineering - Telecom/Technology', 'hardware', 'IT', 'server management', 'System Center Operations Manager', 'Network Hardware', 'Cooling', 'Network Cabling']"
Stock Control and Data Entry Specialist,Monkie,"Sheikh Zayed, Giza, Egypt",Full Time,On-site,Entry Level,1 - 3 Yrs of Exp,Logistics/Supply Chain,Fashion,"['Inventory Management', 'Attention to Detail', 'Data Analysis', 'Time Management', 'Communication', 'ERP/Inventory Software', 'MS Office Proficiency']"
Data Analyst,Junior-Tex,"Obour City, Cairo, Egypt",Full Time,On-site,Entry Level,0 - 3 Yrs of Exp,Analyst/Research,Data Analysis,"['Excel', 'Data Visualization', 'Python', 'Statistical Analysis', 'Problem Solving', 'Reporting', 'Communication', 'Attention to Detail']"
Group HRIS Data Analysis Supervisor,As-Salam International Hospital,"Maadi, Cairo, Egypt",Full Time,On-site,Experienced,4 - 5 Yrs of Exp,Human Resources,Analyst/Research,"['Data Analysis', 'Team Leadership', 'Communication', 'Business Intelligence Tools', 'HRIS Administration', 'Negotiation']"
Repair Order Specialist ( Data Analyst ),OPPO Egypt,"Nasr City, Cairo, Egypt",Full Time,On-site,Entry Level,1 - 2 Yrs of Exp,Customer Service/Support,Analyst/Research,"['Research Analysis', 'Microsoft Excel', 'Electronics', 'Sales', 'MS Office', 'Business English', 'Data Analysis']"
Sales Account Manager,Datum International Data Systems,"Heliopolis, Cairo, Egypt",Full Time,On-site,Experienced,4+ Yrs of Exp,Customer Service/Support,IT/Software Development,"['Sales/Retail', 'Customer Service', 'English', 'excel', 'Microsoft Office', 'sales skills', 'IT Sales', 'Sales Account Manager']"
Technical Support Engineer,Datum International Data Systems,"Heliopolis, Cairo, Egypt",Full Time,On-site,Experienced,2 - 3 Yrs of Exp,Installation/Maintenance/Repair,Technical Support,"['Information Technology (IT)', 'Engineering', 'Customer Care', 'Maintenance', 'Troubleshooting', 'Hardware', 'Computer Science']"
Sales Engineer,Gulf Data International,"Nasr City, Cairo, Egypt",Full Time,On-site,Experienced,3 - 5 Yrs of Exp,Sales/Retail,Engineering - Telecom/Technology,"['Engineering - Mechanical/Electrical', 'Technical Sales', 'IT Solutions', 'Systems Integration', 'Client Relationship Management', 'Presentation Skills', 'Proposal Writing', 'Problem Solving']"
Financial Data Entry / Junior Accountant,Confidential,"New Cairo, Cairo, Egypt",Full Time,Remote,Experienced,2 - 3 Yrs of Exp,Accounting/Finance,Microsoft Office,"['Financial Accounting', 'Remote Work', 'Computer Skills', 'Microsoft Excel', 'English', 'Data Entry']"
Data Analytics Engineer,Erada,"Maadi, Cairo, Egypt",Full Time,On-site,Experienced,3+ Yrs of Exp,IT/Software Development,Analyst/Research,"['Engineering - Telecom/Technology', 'Analysis', 'analytical', 'Computer Science', 'Data Analytics', 'Engineering', 'Information Technology (IT)', 'Software Engineering']"
Project Coordinator,Gulf Data International,"Nasr City, Cairo, Egypt",Full Time,On-site,Experienced,1 - 3 Yrs of Exp,Engineering - Construction/Civil/Architecture,Engineering - Construction/Civil/Architecture,"['Manufacturing/Production', 'Purchasing/Procurement', 'Project coordination', 'Time management', 'Microsoft Office proficiency', 'Project management software', 'Communication', 'Problem-solving', 'Organization']"
Recruitment Specialist,Gulf Data International,"Heliopolis, Cairo, Egypt",Full Time,On-site,Experienced,1 - 2 Yrs of Exp,Human Resources,Talent Sourcing,"['Interviewing', 'Communication', 'Organizational Skills', 'Time Management', 'Attention to Detail', 'Teamwork', 'Negotiation']"
Insurance representative,Gulf Data International,"Cairo, Egypt",Full Time,On-site,Entry Level,0 - 5 Yrs of Exp,Customer Service/Support,Sales/Retail,"['Insurance Sales', 'Client Relationship Management', 'Needs Analysis', 'Negotiation', 'Regulatory Compliance', 'Problem Solving', 'Time Management', 'Product Knowledge']"
Telesales – Data Verification Executive,Al Hayat Medical Clinics,"Nasr City, Cairo, Egypt",Full Time,On-site,Experienced,2 - 5 Yrs of Exp,Sales/Retail,CRM,"['Microsoft Excel', 'Organizing', 'Sales', 'Negotiation', 'Sales Target', 'CRM Software', 'CRM System']"
Data & BI Engineering Technical lead,Al Ahly Momkn for e-payment,"Maadi, Cairo, Egypt",Full Time,Hybrid,Experienced,6 - 8 Yrs of Exp,IT/Software Development,Engineering - Telecom/Technology,"['Python', 'Apache Spark', 'kafka', 'airflow', 'ODS', 'DDS', 'Linux and Windows Server OS and Oracle/MySQL/MS-SQL DB']"
Data Analyst,Tie House,"New Cairo, Cairo, Egypt",Full Time,On-site,Experienced,1 - 3 Yrs of Exp,Analyst/Research,Financial Data Analysis,"['Data Analysis', 'Microsoft Word', 'Microsoft Excel', 'Microsoft Powerpoint']"
Business Analytics Lead,WUZZUF,"Cairo, Egypt",Full Time,Hybrid,Experienced,6 - 9 Yrs of Exp,Engineering - Telecom/Technology,Data Analytics,"['PowerBI', 'BITools']"
Academic Operation Manager,Idea,"Sheikh Zayed, Giza, Egypt",Full Time,On-site,Manager,7 - 10 Yrs of Exp,Operations/Management,Sales/Retail,"['Education/Teaching', 'Academic Operations Management', 'Project Management', 'Program Development', 'Process Improvement', 'Team Leadership', 'Budget Management', 'Data Analysis']"
Senior Cost Accountant,BTC-Egypt Gold,"Heliopolis, Cairo, Egypt",Full Time,On-site,Experienced,4 - 6 Yrs of Exp,Accounting/Finance,Accounting/Finance,"['Banking', 'Cost Accounting', 'Financial Analysis', 'ERP Systems', 'Budgeting and Forecasting', 'Variance Analysis', 'Internal Controls', 'Process Improvement', 'Inventory Management']"
Automotive Showroom Manager,Nile Projects & Trading,"New Cairo, Cairo, Egypt",Full Time,On-site,Manager,5+ Yrs of Exp,Sales/Retail,Automotive Sales,"['Showroom Management', 'Team Leadership', 'Customer Relationship Management', 'Inventory Control', 'Sales Strategy Development', 'Negotiation', 'Data Analysis', 'Communication']"
Senior ERP Technical Developer – Dynamics 365 F&O,Circle K,"Sheraton, Cairo, Egypt",Full Time,On-site,Experienced,5 - 8 Yrs of Exp,IT/Software Development,Engineering - Telecom/Technology,"['ERP', 'Software Development', 'ERP Development', 'Microsoft Dynamics 365', '.NET Framework', 'Technical Documentation', 'System Integration', 'JavaScript']"
Operations & Account Manager,Confidential,"New Cairo, Cairo, Egypt",Full Time,Remote,Entry Level,1 - 4 Yrs of Exp,Administration,Business Development,"['Operations/Management', 'Project Coordination', 'Time Management', 'Communication', 'Client Relationship Management', 'Operations Management', 'Account Management', 'Data Analysis']"
Cost Accountant,Al monairy,"10th of Ramadan City, Cairo, Egypt",Full Time,On-site,Experienced,3 - 5 Yrs of Exp,Accounting/Finance,Cost Accounting,"['Financial Reporting', 'Inventory Management', 'Attention to Detail', 'SAP', 'sap 4 hana', 'Data Analysis', 'Variance Analysis', 'Microsoft Excel']"
Marketing & Sales Manager,Idea,"Sheikh Zayed, Giza, Egypt",Full Time,On-site,Manager,7 - 10 Yrs of Exp,Marketing/PR/Advertising,Sales/Retail,"['Media/Journalism/Publishing', 'Team Leadership', 'Market Analysis', 'Budget Management', 'Brand Management', 'Data Analysis', 'Communication', 'Strategic Planning']"
Call Center & Customer Service Manager,Idea,"Sheikh Zayed, Giza, Egypt",Full Time,On-site,Manager,7 - 10 Yrs of Exp,Customer Service/Support,Operations/Management,"['Sales/Retail', 'Customer Service Management', 'Team Leadership', 'Conflict Resolution', 'Workforce Planning', 'CRM Software Proficiency', 'Communication', 'Process Improvement']"
Product Manager,Confidential,"Cairo, Egypt",Full Time,Remote,Experienced,2 - 20 Yrs of Exp,IT/Software Development,Sales/Retail,"['Product Management', 'Roadmap Planning', 'Market Research', 'Cross-functional Collaboration', 'Data Analysis', 'User Experience (UX)', 'Strategic Thinking', 'Communication']"
English - Quality Analyst,Intouch CX,"Sheikh Zayed, Giza, Egypt",Full Time,On-site,Entry Level,1 - 5 Yrs of Exp,Customer Service/Support,Quality,"['Customer Experience Analysis', 'Quality Assurance', 'Coaching and Feedback', 'Data Analysis', 'Quality Management']"
WMS Specialist,Marbella For Food Industry,"6th of October, Giza, Egypt",Full Time,On-site,Experienced,2 - 3 Yrs of Exp,Operations/Management,Operations/Management,"['Inventory Control', 'Process Improvement', 'Warehouse Management Systems (WMS)', 'Data Analysis']"
Accounting - Manager,Maxevia Corporate,"Nasr City, Cairo, Egypt",Full Time,On-site,Manager,5 - 10 Yrs of Exp,Accounting/Finance,Administration,"['Operations/Management', 'Accounting', 'accounting data', 'Finance', 'Financial Accounting', 'Financial Management', 'reports', 'Transactions']"
Senior Financial Analyst,Confidential,"10th of Ramadan City, Sharqia, Egypt",Full Time,On-site,Experienced,10 - 15 Yrs of Exp,Accounting/Finance,Analyst/Research,"['Financial Analysis', 'Budgeting and Forecasting', 'Data Interpretation', 'Financial Modeling', 'Advanced Excel', 'Report Preparation']"
Senior MRP Engineer,Kasrawy Group,"6th of October, Giza, Egypt",Full Time,On-site,Experienced,5 - 7 Yrs of Exp,Logistics/Supply Chain,Material Requirements Planning (MRP),"['ERP Systems', 'Production Planning', 'Process Improvement', 'Inventory Management', 'Data Analysis', 'Problem Solving', 'Cross-functional Collaboration', 'Supply Chain Management']"
Survey Engineer.,Professional Service - Proserv,"6th of October, Giza, Egypt",Full Time,Hybrid,Entry Level,0 - 1 Yrs of Exp,Engineering - Construction/Civil/Architecture,Surveying,['Data Collection']
Marketing Supervisor,Etqan Consultancy,"Cairo, Egypt",Full Time,On-site,Manager,6+ Yrs of Exp,Marketing/PR/Advertising,Media/Journalism/Publishing,"['Project Management', 'Communication', 'Campaign Management', 'Data Analysis', 'Event Planning', 'Marketing Strategy', 'Team Leadership', 'Digital Marketing']"
Customer Service Clerk,Carofi,"New Cairo, Cairo, Egypt",Full Time,On-site,Entry Level,0 - 1 Yrs of Exp,Administration,Customer Service/Support,"['Communication', 'Customer Service', 'Data Entry', 'Teamwork']"
HR Assistant,Nev Spas,"New Cairo, Cairo, Egypt",Full Time,On-site,Experienced,3 - 5 Yrs of Exp,Administration,Human Resources,"['HR Systems', 'HR Policies', 'Human Resources Administration', 'HRIS Management', 'Data Entry and Record Keeping', 'Time Management']"
Warehouse Supervisor,Confidential,"Alexandria, Egypt",Full Time,On-site,Experienced,3 - 7 Yrs of Exp,Logistics/Supply Chain,Operations/Management,"['Manufacturing/Production', 'Warehouse management', 'Inventory control', 'Team leadership', 'Logistics coordination', 'Process improvement', 'Safety compliance', 'Data analysis']"
AI Engineer,Print Hub,"Mohandessin, Giza, Egypt",Full Time,On-site,Experienced,3 - 6 Yrs of Exp,IT/Software Development,Python Programming,"['Data Analysis', 'PyTorch', 'Data Preprocessing', 'Problem Solving', 'Artificial Intelligence', 'TensorFlow', 'Algorithm Development', 'Deep Learning']"
Marketing Analyst,BTC-Egypt Gold,"Heliopolis, Cairo, Egypt",Full Time,On-site,Experienced,2 - 5 Yrs of Exp,Marketing/PR/Advertising,Analyst/Research,"['Media/Journalism/Publishing', 'Market Analysis', 'Statistical Analysis', 'Data Interpretation', 'Project Management', 'Report Writing', 'Digital Marketing Analytics', 'Data Visualization']"
Medium & Small Enterprise Risk Specialist,"The Micro, Small & Medium Enterprise Development Agency","Dokki, Giza, Egypt",Full Time,On-site,Experienced,1 - 7 Yrs of Exp,Accounting/Finance,Risk Assessment,"['Credit Analysis', 'Regulatory Compliance', 'Data Analysis', 'Report Writing', 'Stakeholder Management', 'Communication', 'Policy Development', 'MSME Sector Knowledge']"
Administrative Assistant,Atta Gad foundation,"Cairo, Egypt",Full Time,On-site,Experienced,2 - 5 Yrs of Exp,Administration,Administration,"['Customer Service/Support', 'Operations/Management', 'Document Preparation', 'Data Entry', 'Attention to Detail', 'Customer Service', 'Office Administration', 'Administration', 'Administration Affairs']"
Farms Junior Procurement Specialist,Nile Sugar,"Mallawi, Minya, Egypt",Full Time,On-site,Entry Level,0 - 1 Yrs of Exp,Purchasing/Procurement,Procurement,"['Vendor Management', 'Inventory Management', 'Data Entry', 'Microsoft Office']"
Digital Marketing Manager,Hamwi Cafe,"Sheraton, Cairo, Egypt",Full Time,On-site,Manager,10 - 15 Yrs of Exp,Administration,Administration,"['Marketing/PR/Advertising', 'Digital Marketing Strategy', 'SEO/SEM', 'Social Media Management', 'Content Creation', 'Campaign Management', 'Email Marketing', 'Project Management', 'Communication']"
