Title,company,location,job_type,work_mode,Experience_level,Experience_year,categories,department,skills
HCM-Oracle Consultant,First Access Consulting,"Riyadh, Saudi Arabia",Full Time,,Experienced,Human Resources,Human Resources,Engineering - Telecom/Technology,"['Information Technology (IT)', 'Oracle', 'Computer Science', 'HCM', 'ERP', 'EBS', 'SQL']"
"Manager, Real Estate (Underwriting & Financial Analyst)",Flow,"Riyadh, Saudi Arabia",Full Time,,Experienced,Customer Service/Support,Customer Service/Support,Sales/Retail,"['Real Estate', 'Sales', 'Sales Skills', 'Sales Target', 'Customer Service', 'Property', 'Customer Support']"
Digital Marketing Manager,Loyal To Cumbria,"Makkah, Saudi Arabia",Full Time,,Experienced,Marketing/PR/Advertising,Marketing/PR/Advertising,Media/Journalism/Publishing,"['Marketing', 'Social Media', 'Digital Marketing', 'E-marketing', 'Media', 'SEO', 'Market Research']"
Digital Marketing Manager | Retail,Al-Futtaim Automotive - الفطيم للسيارات,"Dubai, United Arab Emirates",Full Time,,Experienced,Operations/Management,Operations/Management,Media/Journalism/Publishing,"['Marketing', 'Social Media', 'Digital Marketing', 'Media', 'E-marketing', 'SEO', 'SEM']"
Program Manager,Inception,"Dubai, United Arab Emirates",Full Time,,Entry Level,IT/Software Development,IT/Software Development,Engineering - Telecom/Technology,"['Project Management', 'Information Technology (IT)', 'Management', 'Computer Science', 'Engineering', 'Program Management', 'Programming']"
"Area Manager, Levant (Beirut, Lebanon)",Getinge,"Dubai, United Arab Emirates",Full Time,,Experienced,Operations/Management,Operations/Management,Pharmaceutical,"['Sales', 'Sales Skills', 'Sales Target', 'Management', 'Customer Service', 'Retail', 'Customer Care']"
Electrical Project Engineer – Intermediate Level - Saudi Arabia -144982,Jones Engineering,"Riyadh, Saudi Arabia",Full Time,,Entry Level,Engineering - Construction/Civil/Architecture,Engineering - Construction/Civil/Architecture,Engineering - Mechanical/Electrical,"['Electrical Engineering', 'Project Management', 'Engineering', 'AutoCAD', 'Electrical', 'Construction', 'Mechanical Engineering']"
HR/PRO Admin,Marriott International,"Dubai, United Arab Emirates",Full Time,,Entry Level,Administration,Administration,Operations/Management,"['Human Resources (HR)', 'Administration', 'Admin', 'Microsoft Office', 'Recruitment', 'Office Management', 'Personnel']"
Subcontracts Administration Engineer,Tecnimont,"Riyadh, Saudi Arabia",Freelance / Project,,Experienced,Engineering - Construction/Civil/Architecture,Engineering - Construction/Civil/Architecture,Engineering - Telecom/Technology,"['Computer Science', 'Information Technology (IT)', 'Linux', 'Engineering', 'Apache', 'Computer Engineering', 'Linux Administration']"
Senior Transportation Planner,HDR,"Riyadh, Saudi Arabia",Full Time,,Experienced,Engineering - Construction/Civil/Architecture,Engineering - Construction/Civil/Architecture,Purchasing/Procurement,"['Planning', 'Supply Chain', 'Logistics', 'Engineering', 'Indoor Sales', 'Outdoor Sales', 'Purchasing']"
Cost Control Engineer,CSI Global,"Riyadh, Saudi Arabia",Full Time,,Experienced,Engineering - Construction/Civil/Architecture,Engineering - Construction/Civil/Architecture,Quality,"['Engineering', 'Quality Control', 'Quality Assurance', 'Quality', 'Cost Control', 'Computer Science', 'Software Testing']"
Professional Services Consultant,NetApp,"Riyadh, Saudi Arabia",Full Time,,Experienced,Accounting/Finance,Accounting/Finance,Engineering - Telecom/Technology,"['Computer Science', 'Information Technology (IT)', 'Microsoft Office', 'Accounting', 'Finance', 'Commerce', 'Customer Care']"
"Senior Marketing Manager - CIS, Russian Speaking",OKX,"Dubai, United Arab Emirates",Full Time,,Experienced,Marketing/PR/Advertising,Marketing/PR/Advertising,Media/Journalism/Publishing,"['Marketing', 'Social Media', 'E-marketing', 'Market Research', 'Digital Marketing', 'Media', 'Sales']"
